[Cliente 1] tempo di permanenza: 7495ms, prodotti acquistati: 0, code cambiate: 0, tempo in coda: 0ms
[Cliente 2] tempo di permanenza: 8419ms, prodotti acquistati: 0, code cambiate: 0, tempo in coda: 0ms
[Cliente 3] tempo di permanenza: 7495ms, prodotti acquistati: 0, code cambiate: 0, tempo in coda: 0ms
[Cliente 4] tempo di permanenza: 7495ms, prodotti acquistati: 0, code cambiate: 0, tempo in coda: 0ms
[Cliente 5] tempo di permanenza: 8418ms, prodotti acquistati: 0, code cambiate: 0, tempo in coda: 0ms
[Cliente 6] tempo di permanenza: 7494ms, prodotti acquistati: 0, code cambiate: 0, tempo in coda: 0ms
[Cliente 7] tempo di permanenza: 7494ms, prodotti acquistati: 0, code cambiate: 0, tempo in coda: 0ms
[Cliente 8] tempo di permanenza: 8418ms, prodotti acquistati: 0, code cambiate: 0, tempo in coda: 0ms
[Cliente 9] tempo di permanenza: 8418ms, prodotti acquistati: 0, code cambiate: 0, tempo in coda: 0ms
[Cliente 10] tempo di permanenza: 7494ms, prodotti acquistati: 0, code cambiate: 0, tempo in coda: 0ms
[Cliente 11] tempo di permanenza: 7494ms, prodotti acquistati: 0, code cambiate: 0, tempo in coda: 0ms
[Cliente 12] tempo di permanenza: 8418ms, prodotti acquistati: 0, code cambiate: 0, tempo in coda: 0ms
[Cliente 13] tempo di permanenza: 8417ms, prodotti acquistati: 0, code cambiate: 0, tempo in coda: 0ms
[Cliente 14] tempo di permanenza: 8418ms, prodotti acquistati: 0, code cambiate: 0, tempo in coda: 0ms
[Cliente 15] tempo di permanenza: 8418ms, prodotti acquistati: 0, code cambiate: 0, tempo in coda: 0ms
[Cliente 16] tempo di permanenza: 7493ms, prodotti acquistati: 0, code cambiate: 0, tempo in coda: 0ms
[Cliente 17] tempo di permanenza: 1606ms, prodotti acquistati: 43, code cambiate: 0, tempo in coda: 1558ms
[Cliente 51] tempo di permanenza: 6811ms, prodotti acquistati: 0, code cambiate: 0, tempo in coda: 0ms
[Cliente 18] tempo di permanenza: 8417ms, prodotti acquistati: 97, code cambiate: 0, tempo in coda: 8301ms
[Cliente 19] tempo di permanenza: 8417ms, prodotti acquistati: 0, code cambiate: 0, tempo in coda: 0ms
[Cliente 20] tempo di permanenza: 7493ms, prodotti acquistati: 0, code cambiate: 0, tempo in coda: 0ms
[Cliente 21] tempo di permanenza: 753ms, prodotti acquistati: 14, code cambiate: 0, tempo in coda: 707ms
[Cliente 52] tempo di permanenza: 6811ms, prodotti acquistati: 0, code cambiate: 0, tempo in coda: 0ms
[Cliente 22] tempo di permanenza: 7493ms, prodotti acquistati: 0, code cambiate: 0, tempo in coda: 0ms
[Cliente 23] tempo di permanenza: 7493ms, prodotti acquistati: 0, code cambiate: 0, tempo in coda: 0ms
[Cliente 24] tempo di permanenza: 7493ms, prodotti acquistati: 0, code cambiate: 0, tempo in coda: 0ms
[Cliente 25] tempo di permanenza: 4015ms, prodotti acquistati: 61, code cambiate: 0, tempo in coda: 3972ms
[Cliente 62] tempo di permanenza: 3439ms, prodotti acquistati: 92, code cambiate: 0, tempo in coda: 3264ms
[Cliente 26] tempo di permanenza: 4968ms, prodotti acquistati: 15, code cambiate: 0, tempo in coda: 4857ms
[Cliente 27] tempo di permanenza: 7492ms, prodotti acquistati: 0, code cambiate: 0, tempo in coda: 0ms
[Cliente 28] tempo di permanenza: 3263ms, prodotti acquistati: 27, code cambiate: 0, tempo in coda: 3199ms
[Cliente 58] tempo di permanenza: 4219ms, prodotti acquistati: 0, code cambiate: 0, tempo in coda: 0ms
[Cliente 29] tempo di permanenza: 7493ms, prodotti acquistati: 0, code cambiate: 0, tempo in coda: 0ms
[Cliente 30] tempo di permanenza: 7492ms, prodotti acquistati: 0, code cambiate: 0, tempo in coda: 0ms
[Cliente 31] tempo di permanenza: 7492ms, prodotti acquistati: 0, code cambiate: 0, tempo in coda: 0ms
[Cliente 32] tempo di permanenza: 7492ms, prodotti acquistati: 98, code cambiate: 0, tempo in coda: 7431ms
[Cliente 33] tempo di permanenza: 202ms, prodotti acquistati: 3, code cambiate: 0, tempo in coda: 164ms
[Cliente 53] tempo di permanenza: 5887ms, prodotti acquistati: 0, code cambiate: 0, tempo in coda: 0ms
[Cliente 34] tempo di permanenza: 7492ms, prodotti acquistati: 0, code cambiate: 0, tempo in coda: 0ms
[Cliente 35] tempo di permanenza: 8416ms, prodotti acquistati: 0, code cambiate: 0, tempo in coda: 0ms
[Cliente 36] tempo di permanenza: 8416ms, prodotti acquistati: 0, code cambiate: 0, tempo in coda: 0ms
[Cliente 37] tempo di permanenza: 1832ms, prodotti acquistati: 50, code cambiate: 0, tempo in coda: 1797ms
