[Cliente 1] tempo di permanenza: 7495ms, prodotti acquistati: 0, code cambiate: 0, tempo in coda: 0ms
[Cliente 2] tempo di permanenza: 6906ms, prodotti acquistati: 0, code cambiate: 0, tempo in coda: 0ms
[Cliente 3] tempo di permanenza: 6906ms, prodotti acquistati: 0, code cambiate: 0, tempo in coda: 0ms
[Cliente 4] tempo di permanenza: 6906ms, prodotti acquistati: 0, code cambiate: 0, tempo in coda: 0ms
[Cliente 5] tempo di permanenza: 6906ms, prodotti acquistati: 0, code cambiate: 0, tempo in coda: 0ms
[Cliente 6] tempo di permanenza: 6404ms, prodotti acquistati: 84, code cambiate: 0, tempo in coda: 6320ms
[Cliente 7] tempo di permanenza: 6052ms, prodotti acquistati: 0, code cambiate: 0, tempo in coda: 0ms
[Cliente 8] tempo di permanenza: 6052ms, prodotti acquistati: 0, code cambiate: 0, tempo in coda: 0ms
[Cliente 9] tempo di permanenza: 6404ms, prodotti acquistati: 0, code cambiate: 0, tempo in coda: 0ms
[Cliente 10] tempo di permanenza: 6905ms, prodotti acquistati: 0, code cambiate: 0, tempo in coda: 0ms
[Cliente 11] tempo di permanenza: 7494ms, prodotti acquistati: 0, code cambiate: 0, tempo in coda: 0ms
[Cliente 12] tempo di permanenza: 6905ms, prodotti acquistati: 0, code cambiate: 0, tempo in coda: 0ms
[Cliente 13] tempo di permanenza: 8417ms, prodotti acquistati: 0, code cambiate: 0, tempo in coda: 0ms
[Cliente 14] tempo di permanenza: 3399ms, prodotti acquistati: 2, code cambiate: 0, tempo in coda: 3320ms
[Cliente 61] tempo di permanenza: 2387ms, prodotti acquistati: 0, code cambiate: 0, tempo in coda: 0ms
[Cliente 15] tempo di permanenza: 6051ms, prodotti acquistati: 0, code cambiate: 0, tempo in coda: 0ms
[Cliente 16] tempo di permanenza: 7493ms, prodotti acquistati: 0, code cambiate: 0, tempo in coda: 0ms
[Cliente 17] tempo di permanenza: 1606ms, prodotti acquistati: 43, code cambiate: 0, tempo in coda: 1558ms
[Cliente 53] tempo di permanenza: 6810ms, prodotti acquistati: 0, code cambiate: 0, tempo in coda: 0ms
[Cliente 18] tempo di permanenza: 8417ms, prodotti acquistati: 97, code cambiate: 0, tempo in coda: 8301ms
[Cliente 19] tempo di permanenza: 8417ms, prodotti acquistati: 0, code cambiate: 0, tempo in coda: 0ms
[Cliente 20] tempo di permanenza: 6904ms, prodotti acquistati: 61, code cambiate: 0, tempo in coda: 6875ms
[Cliente 21] tempo di permanenza: 752ms, prodotti acquistati: 14, code cambiate: 0, tempo in coda: 707ms
[Cliente 52] tempo di permanenza: 4444ms, prodotti acquistati: 0, code cambiate: 0, tempo in coda: 0ms
[Cliente 22] tempo di permanenza: 6050ms, prodotti acquistati: 0, code cambiate: 0, tempo in coda: 0ms
[Cliente 23] tempo di permanenza: 6050ms, prodotti acquistati: 0, code cambiate: 0, tempo in coda: 0ms
[Cliente 24] tempo di permanenza: 7492ms, prodotti acquistati: 0, code cambiate: 0, tempo in coda: 0ms
[Cliente 25] tempo di permanenza: 4015ms, prodotti acquistati: 61, code cambiate: 0, tempo in coda: 3972ms
[Cliente 62] tempo di permanenza: 1693ms, prodotti acquistati: 0, code cambiate: 0, tempo in coda: 0ms
[Cliente 26] tempo di permanenza: 4968ms, prodotti acquistati: 15, code cambiate: 0, tempo in coda: 4857ms
[Cliente 27] tempo di permanenza: 7492ms, prodotti acquistati: 0, code cambiate: 0, tempo in coda: 0ms
[Cliente 28] tempo di permanenza: 3264ms, prodotti acquistati: 27, code cambiate: 0, tempo in coda: 3200ms
[Cliente 59] tempo di permanenza: 2434ms, prodotti acquistati: 42, code cambiate: 0, tempo in coda: 2260ms
[Cliente 29] tempo di permanenza: 6050ms, prodotti acquistati: 0, code cambiate: 0, tempo in coda: 0ms
[Cliente 30] tempo di permanenza: 7492ms, prodotti acquistati: 0, code cambiate: 0, tempo in coda: 0ms
[Cliente 31] tempo di permanenza: 6402ms, prodotti acquistati: 0, code cambiate: 0, tempo in coda: 0ms
[Cliente 32] tempo di permanenza: 7492ms, prodotti acquistati: 98, code cambiate: 0, tempo in coda: 7431ms
[Cliente 33] tempo di permanenza: 202ms, prodotti acquistati: 3, code cambiate: 0, tempo in coda: 164ms
[Cliente 51] tempo di permanenza: 2588ms, prodotti acquistati: 68, code cambiate: 0, tempo in coda: 2424ms
[Cliente 63] tempo di permanenza: 1004ms, prodotti acquistati: 0, code cambiate: 0, tempo in coda: 0ms
[Cliente 34] tempo di permanenza: 6903ms, prodotti acquistati: 0, code cambiate: 0, tempo in coda: 0ms
[Cliente 35] tempo di permanenza: 4703ms, prodotti acquistati: 39, code cambiate: 0, tempo in coda: 4679ms
[Cliente 65] tempo di permanenza: 2200ms, prodotti acquistati: 0, code cambiate: 0, tempo in coda: 0ms
[Cliente 36] tempo di permanenza: 6049ms, prodotti acquistati: 68, code cambiate: 0, tempo in coda: 5990ms
[Cliente 37] tempo di permanenza: 1832ms, prodotti acquistati: 50, code cambiate: 0, tempo in coda: 1797ms
[Cliente 55] tempo di permanenza: 5360ms, prodotti acquistati: 0, code cambiate: 0, tempo in coda: 0ms
[Cliente 38] tempo di permanenza: 6401ms, prodotti acquistati: 0, code cambiate: 0, tempo in coda: 0ms
[Cliente 39] tempo di permanenza: 6049ms, prodotti acquistati: 0, code cambiate: 0, tempo in coda: 0ms
[Cliente 40] tempo di permanenza: 3272ms, prodotti acquistati: 91, code cambiate: 0, tempo in coda: 3250ms
[Cliente 58] tempo di permanenza: 3630ms, prodotti acquistati: 0, code cambiate: 0, tempo in coda: 0ms
[Cliente 41] tempo di permanenza: 6903ms, prodotti acquistati: 0, code cambiate: 0, tempo in coda: 0ms
[Cliente 42] tempo di permanenza: 2130ms, prodotti acquistati: 3, code cambiate: 0, tempo in coda: 2023ms
[Cliente 54] tempo di permanenza: 6284ms, prodotti acquistati: 0, code cambiate: 0, tempo in coda: 0ms
[Cliente 43] tempo di permanenza: 8415ms, prodotti acquistati: 0, code cambiate: 0, tempo in coda: 0ms
[Cliente 44] tempo di permanenza: 2253ms, prodotti acquistati: 62, code cambiate: 0, tempo in coda: 2234ms
[Cliente 57] tempo di permanenza: 3128ms, prodotti acquistati: 0, code cambiate: 0, tempo in coda: 0ms
[Cliente 45] tempo di permanenza: 6401ms, prodotti acquistati: 0, code cambiate: 0, tempo in coda: 0ms
[Cliente 46] tempo di permanenza: 6401ms, prodotti acquistati: 0, code cambiate: 0, tempo in coda: 0ms
[Cliente 47] tempo di permanenza: 3609ms, prodotti acquistati: 80, code cambiate: 0, tempo in coda: 3553ms
[Cliente 60] tempo di permanenza: 2035ms, prodotti acquistati: 0, code cambiate: 0, tempo in coda: 0ms
[Cliente 48] tempo di permanenza: 1972ms, prodotti acquistati: 9, code cambiate: 0, tempo in coda: 1881ms
[Cliente 56] tempo di permanenza: 6284ms, prodotti acquistati: 0, code cambiate: 0, tempo in coda: 0ms
[Cliente 49] tempo di permanenza: 4388ms, prodotti acquistati: 63, code cambiate: 0, tempo in coda: 4281ms
[Cliente 64] tempo di permanenza: 3712ms, prodotti acquistati: 0, code cambiate: 0, tempo in coda: 0ms
[Cliente 50] tempo di permanenza: 8415ms, prodotti acquistati: 0, code cambiate: 0, tempo in coda: 0ms
[Cassiere 0] clienti serviti: 4, prodotti elaborati: 175, chiusure: 0, tempi di servizio dei clienti serviti: 2234ms 1009ms 134ms 3004ms
[Cassiere 1] clienti serviti: 6, prodotti elaborati: 230, chiusure: 0, tempi di servizio dei clienti serviti: 1558ms 368ms 158ms 2258ms 578ms 3448ms
[Cassiere 2] clienti serviti: 3, prodotti elaborati: 209, chiusure: 0, tempi di servizio dei clienti serviti: 1797ms 2182ms 3477ms
[Cassiere 3] clienti serviti: 3, prodotti elaborati: 191, chiusure: 0, tempi di servizio dei clienti serviti: 3250ms 1430ms 2200ms
[Cassiere 4] clienti serviti: 4, prodotti elaborati: 165, chiusure: 0, tempi di servizio dei clienti serviti: 164ms 549ms 2859ms 2439ms
[Cassiere 5] clienti serviti: 2, prodotti elaborati: 110, chiusure: 0, tempi di servizio dei clienti serviti: 2424ms 1514ms
Numero di clienti serviti: 22
Numero di prodotti acquistati: 1080
